Country name,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruptions
Finland,7.842,10.775,0.954,72.000,0.949,-0.098,0.186
Denmark,7.620,10.933,0.954,72.700,0.946,0.030,0.179
Switzerland,7.571,11.117,0.942,74.400,0.919,0.025,0.292
Iceland,7.554,10.878,0.983,73.000,0.955,0.160,0.673
Netherlands,7.464,10.932,0.942,72.400,0.913,0.175,0.338
Norway,7.392,11.053,0.954,73.300,0.960,0.093,0.270
Sweden,7.363,10.867,0.934,72.700,0.945,0.086,0.237
Luxembourg,7.324,11.647,0.908,72.600,0.907,-0.034,0.386
New Zealand,7.277,10.643,0.948,73.400,0.929,0.134,0.242
Austria,7.268,10.906,0.934,73.300,0.908,0.042,0.481
Australia,7.183,10.796,0.940,73.900,0.914,0.159,0.442
Israel,7.157,10.575,0.939,73.503,0.800,0.031,0.753
Germany,7.155,10.873,0.903,72.500,0.875,0.011,0.460
Canada,7.103,10.776,0.926,73.800,0.915,0.089,0.415
Ireland,7.085,11.342,0.947,72.400,0.879,0.077,0.363
Costa Rica,7.069,9.880,0.891,71.400,0.934,-0.126,0.809
United Kingdom,7.064,10.707,0.934,72.500,0.859,0.233,0.459
Czech Republic,6.965,10.556,0.947,70.807,0.858,-0.208,0.868
United States,6.951,11.023,0.920,68.200,0.837,0.098,0.698
Belgium,6.834,10.823,0.906,72.199,0.783,-0.153,0.646
Swaziland,4.308,9.065,0.770,50.833,0.647,-0.185,0.708
Comoros,4.289,8.031,0.626,57.349,0.548,0.082,0.781
Egypt,4.283,9.367,0.750,61.998,0.749,-0.182,0.795
Ethiopia,4.275,7.694,0.764,59.000,0.752,0.082,0.761
Mauritania,4.227,8.542,0.795,57.161,0.561,-0.106,0.731
Madagascar,4.208,7.396,0.686,59.305,0.552,-0.005,0.803
Togo,4.107,7.362,0.569,54.914,0.619,0.032,0.772
Zambia,4.073,8.145,0.708,55.809,0.782,0.061,0.823
Sierra Leone,3.849,7.434,0.630,51.651,0.717,0.084,0.866
India,3.819,8.755,0.603,60.633,0.893,0.089,0.774
Burundi,3.775,6.635,0.490,53.400,0.626,-0.024,0.607
Yemen,3.658,7.578,0.832,57.122,0.602,-0.147,0.800
Tanzania,3.623,7.876,0.702,57.999,0.833,0.183,0.577
Haiti,3.615,7.477,0.540,55.700,0.593,0.422,0.721
Malawi,3.600,6.958,0.537,57.948,0.780,0.038,0.729
Lesotho,3.512,7.926,0.787,48.700,0.715,-0.131,0.915
Botswana,3.467,9.782,0.784,59.269,0.824,-0.246,0.801
Rwanda,3.415,7.676,0.552,61.400,0.897,0.061,0.167
Zimbabwe,3.145,7.943,0.750,56.201,0.677,-0.047,0.821
Afghanistan,2.523,7.695,0.463,52.493,0.382,-0.102,0.924
